검토상태,전표번호,전표유형,계정과목,품목이름,금액,적요,1차판정,판정신뢰도,적용규칙ID,핵심쟁점,판정사유,법령근거,추가확인사항,근거URL,매칭문구,규칙버전
프로토타입 1차 스크리닝,18260104-3,과세매입,소모품비,전자기기,166000,태블릿PC 구매 - 사용자 및 사용부서 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,소모품비 | 전자기기 | 태블릿PC 구매 - 사용자 및 사용부서 미기재,2026-08-13
프로토타입 1차 스크리닝,18260104-4,과세매입,소모품비,전자기기,3829000,태블릿PC 구매 - 사용자 및 사용부서 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,소모품비 | 전자기기 | 태블릿PC 구매 - 사용자 및 사용부서 미기재,2026-08-13
프로토타입 1차 스크리닝,18260105-1,과세매입,운반비,화물운송,5036000,완제품 거래처 납품용 5톤 화물운송,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,운반비 | 화물운송 | 완제품 거래처 납품용 5톤 화물운송,2026-08-13
프로토타입 1차 스크리닝,18260105-2,과세매입,기업업무추진비,거래처선물,2458000,거래처 대표 명절 선물세트 제공,불공제 가능,높음,R040_BUSINESS_PROMOTION,기업업무추진비·접대성 지출,기업업무추진비와 유사한 접대성 비용의 매입세액은 불공제,부가가치세법 제39조 제1항 제6호·시행령 제79조,지출 상대방·목적·참석자와 광고선전 또는 복리후생 해당 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제79조,기업업무추진비 | 거래처선물 | 거래처 대표 명절 선물세트 제공,2026-08-13
프로토타입 1차 스크리닝,18260105-3,과세매입,수선비,설비수리,981000,CNC 선반 스핀들 고장 수리 및 부품교체,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,수선비 | 설비수리 | CNC 선반 스핀들 고장 수리 및 부품교체,2026-08-13
프로토타입 1차 스크리닝,18260105-4,과세매입,교육훈련비,안전교육,4008000,생산팀 산업안전·설비조작 교육비,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,교육훈련비 | 안전교육 | 생산팀 산업안전·설비조작 교육비,2026-08-13
프로토타입 1차 스크리닝,18260106-1,과세매입,부재료비,용접봉,1995000,생산공정 용접작업용 용접봉 구매,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,부재료비 | 용접봉 | 생산공정 용접작업용 용접봉 구매,2026-08-13
프로토타입 1차 스크리닝,18260106-2,과세매입,원자재,철판,8837000,A라인 생산용 SS400 철판 원재료 매입,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,원자재 | 철판 | A라인 생산용 SS400 철판 원재료 매입,2026-08-13
프로토타입 1차 스크리닝,18260106-3,과세매입,원자재,베어링,1108000,감속기 조립용 베어링 생산자재 매입,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,원자재 | 베어링 | 감속기 조립용 베어링 생산자재 매입,2026-08-13
프로토타입 1차 스크리닝,18260106-4,과세매입,지급수수료,금융자문,22400000,신규 공장증설 사업 추진에 필요한 대상회사 인수자금 조달 및 금융자문 수수료,공제 가능,중간,R120_BUSINESS_EXPANSION_SERVICE,과세사업 수행을 위한 인수·실사·자문,구체적 사업 수행에 필요하고 토지 자체의 가치 증가 비용이 아닌 용역은 공제 가능,부가가치세법 제38조 제1항·대법원 2010두15902·2010두12552,계약서·자문 산출물·사업계획·대금지급 증빙을 보관하세요.,https://law.go.kr/LSW/precInfoP.do?precSeq=171788,지급수수료 | 금융자문 | 신규 공장증설 사업 추진에 필요한 대상회사 인수자금 조달 및 금융자문 수수료,2026-08-13
프로토타입 1차 스크리닝,18260107-1,과세매입,연구개발비,시제품재료,2893000,신형 펌프 시제품 제작용 테스트 재료비,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,연구개발비 | 시제품재료 | 신형 펌프 시제품 제작용 테스트 재료비,2026-08-13
프로토타입 1차 스크리닝,18260107-2,과세매입,비품,노트북,2980000,품질관리팀 검사데이터 분석용 노트북 구입,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,비품 | 노트북 | 품질관리팀 검사데이터 분석용 노트북 구입,2026-08-13
프로토타입 1차 스크리닝,18260107-3,과세매입,복리후생비(생산),생산직원식대,2207000,야간 잔업 생산직원 식대 18명,공제 가능,중간,R150_EMPLOYEE_WELFARE_TRAINING,종업원 복리후생·직무교육,종업원 공동 복리후생과 직무 관련 교육은 사업 관련 매입으로 공제 가능,부가가치세법 제38조 제1항,대상자가 종업원인지와 복리후생 기준을 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,복리후생비(생산) | 생산직원식대 | 야간 잔업 생산직원 식대 18명,2026-08-13
프로토타입 1차 스크리닝,18260107-4,과세매입,운반비,화물운송,1073000,완제품 거래처 납품용 5톤 화물운송,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,운반비 | 화물운송 | 완제품 거래처 납품용 5톤 화물운송,2026-08-13
프로토타입 1차 스크리닝,18260108-1,과세매입,차량유지비,승용차유류,1861000,"대표이사 업무용 2,000cc 승용차 주유",불공제 가능,높음,R050_SMALL_PASSENGER_CAR,비영업용 소형승용자동차 관련,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,부가가치세법 제39조 제1항 제5호·시행령 제78조,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,"차량유지비 | 승용차유류 | 대표이사 업무용 2,000cc 승용차 주유",2026-08-13
프로토타입 1차 스크리닝,18260108-2,과세매입,임차료,승용차렌트,319000,영업관리용 5인승 승용차 월 렌트료,불공제 가능,높음,R050_SMALL_PASSENGER_CAR,비영업용 소형승용자동차 관련,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,부가가치세법 제39조 제1항 제5호·시행령 제78조,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,임차료 | 승용차렌트 | 영업관리용 5인승 승용차 월 렌트료,2026-08-13
프로토타입 1차 스크리닝,18260108-3,과세매입,기업업무추진비,거래처식사,749000,주요 거래처 임원 4명 접대 목적 저녁식사,불공제 가능,높음,R040_BUSINESS_PROMOTION,기업업무추진비·접대성 지출,기업업무추진비와 유사한 접대성 비용의 매입세액은 불공제,부가가치세법 제39조 제1항 제6호·시행령 제79조,지출 상대방·목적·참석자와 광고선전 또는 복리후생 해당 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제79조,기업업무추진비 | 거래처식사 | 주요 거래처 임원 4명 접대 목적 저녁식사,2026-08-13
프로토타입 1차 스크리닝,18260108-4,과세매입,차량유지비,유류비,1784000,현장 방문 차량 주유 - 차종 및 차량번호 미기재,추가검토,높음,R100_AMBIGUOUS_VEHICLE,차종·용도 확인 필요,차량비는 차종과 직접 영업 사용 여부가 없으면 불공제 여부를 판정할 수 없음,부가가치세법 제39조 제1항 제5호,차종·정원·배기량·차량번호·업무용도를 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제39조,차량유지비 | 유류비 | 현장 방문 차량 주유 - 차종 및 차량번호 미기재,2026-08-13
프로토타입 1차 스크리닝,18260109-1,과세매입,지급수수료,회계감사,575000,외부감사 대응 재고실사 및 회계자문 수수료,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,지급수수료 | 회계감사 | 외부감사 대응 재고실사 및 회계자문 수수료,2026-08-13
프로토타입 1차 스크리닝,18260109-2,과세매입,지급수수료,인수자문,21200000,생산단지 조성사업 시행을 위해 토지 다수 보유 법인 주식인수 협상·실사 자문,공제 가능,중간,R120_BUSINESS_EXPANSION_SERVICE,과세사업 수행을 위한 인수·실사·자문,구체적 사업 수행에 필요하고 토지 자체의 가치 증가 비용이 아닌 용역은 공제 가능,부가가치세법 제38조 제1항·대법원 2010두15902·2010두12552,계약서·자문 산출물·사업계획·대금지급 증빙을 보관하세요.,https://law.go.kr/LSW/precInfoP.do?precSeq=171788,지급수수료 | 인수자문 | 생산단지 조성사업 시행을 위해 토지 다수 보유 법인 주식인수 협상·실사 자문,2026-08-13
프로토타입 1차 스크리닝,18260109-3,과세매입,지급수수료,자문료,2064000,외부 컨설팅 수수료 - 프로젝트명 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,지급수수료 | 자문료 | 외부 컨설팅 수수료 - 프로젝트명 미기재,2026-08-13
프로토타입 1차 스크리닝,18260109-4,과세매입,지급수수료,회계감사,4044000,외부감사 대응 재고실사 및 회계자문 수수료,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,지급수수료 | 회계감사 | 외부감사 대응 재고실사 및 회계자문 수수료,2026-08-13
프로토타입 1차 스크리닝,18260110-1,과세매입,임차료,승용차렌트,850000,영업관리용 5인승 승용차 월 렌트료,불공제 가능,높음,R050_SMALL_PASSENGER_CAR,비영업용 소형승용자동차 관련,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,부가가치세법 제39조 제1항 제5호·시행령 제78조,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,임차료 | 승용차렌트 | 영업관리용 5인승 승용차 월 렌트료,2026-08-13
프로토타입 1차 스크리닝,18260110-2,과세매입,부재료비,용접봉,1849000,생산공정 용접작업용 용접봉 구매,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,부재료비 | 용접봉 | 생산공정 용접작업용 용접봉 구매,2026-08-13
프로토타입 1차 스크리닝,18260110-3,과세매입,복리후생비(관리),직원간식,7138000,사무실 전 직원 공용 간식 및 생수 구매,공제 가능,중간,R150_EMPLOYEE_WELFARE_TRAINING,종업원 복리후생·직무교육,종업원 공동 복리후생과 직무 관련 교육은 사업 관련 매입으로 공제 가능,부가가치세법 제38조 제1항,대상자가 종업원인지와 복리후생 기준을 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,복리후생비(관리) | 직원간식 | 사무실 전 직원 공용 간식 및 생수 구매,2026-08-13
프로토타입 1차 스크리닝,18260110-4,과세매입,원자재,베어링,5657000,감속기 조립용 베어링 생산자재 매입,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,원자재 | 베어링 | 감속기 조립용 베어링 생산자재 매입,2026-08-13
프로토타입 1차 스크리닝,18260111-1,과세매입,운반비,화물운송,4690000,완제품 거래처 납품용 5톤 화물운송,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,운반비 | 화물운송 | 완제품 거래처 납품용 5톤 화물운송,2026-08-13
프로토타입 1차 스크리닝,18260111-2,과세매입,부재료비,용접봉,6281000,생산공정 용접작업용 용접봉 구매,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,부재료비 | 용접봉 | 생산공정 용접작업용 용접봉 구매,2026-08-13
프로토타입 1차 스크리닝,18260111-3,과세매입,임차료,승용차렌트,1253000,영업관리용 5인승 승용차 월 렌트료,불공제 가능,높음,R050_SMALL_PASSENGER_CAR,비영업용 소형승용자동차 관련,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,부가가치세법 제39조 제1항 제5호·시행령 제78조,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,임차료 | 승용차렌트 | 영업관리용 5인승 승용차 월 렌트료,2026-08-13
프로토타입 1차 스크리닝,18260111-4,과세매입,지급수수료,가치평가,24400000,과세사업 확대에 필요한 사업시행권 보유 법인 인수 전 가치평가 및 재무실사,공제 가능,중간,R120_BUSINESS_EXPANSION_SERVICE,과세사업 수행을 위한 인수·실사·자문,구체적 사업 수행에 필요하고 토지 자체의 가치 증가 비용이 아닌 용역은 공제 가능,부가가치세법 제38조 제1항·대법원 2010두15902·2010두12552,계약서·자문 산출물·사업계획·대금지급 증빙을 보관하세요.,https://law.go.kr/LSW/precInfoP.do?precSeq=171788,지급수수료 | 가치평가 | 과세사업 확대에 필요한 사업시행권 보유 법인 인수 전 가치평가 및 재무실사,2026-08-13
프로토타입 1차 스크리닝,18260112-1,과세매입,광고선전비,제품카탈로그,8634000,"B2B 영업용 제품 카탈로그 2,000부 제작",공제 가능,중간,R160_ADVERTISING_SALES,광고·판매촉진,과세매출을 위한 일반 광고·판매촉진비는 공제 원칙,부가가치세법 제38조 제1항,배포대상과 광고 목적을 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,"광고선전비 | 제품카탈로그 | B2B 영업용 제품 카탈로그 2,000부 제작",2026-08-13
프로토타입 1차 스크리닝,18260112-2,과세매입,교육훈련비,안전교육,37000,생산팀 산업안전·설비조작 교육비,공제 가능,중간,R140_BUSINESS_EQUIPMENT_SERVICE,업무용 비품·설비·관리용역,과세사업 운영에 직접 사용하는 비품·설비·관리용역은 공제 원칙,부가가치세법 제38조 제1항,업무사용 및 과세사업 귀속 증빙을 보관하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,교육훈련비 | 안전교육 | 생산팀 산업안전·설비조작 교육비,2026-08-13
프로토타입 1차 스크리닝,18260112-3,과세매입,임차료,공장창고,1514000,원재료 보관용 외부 창고 월 임차료,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,임차료 | 공장창고 | 원재료 보관용 외부 창고 월 임차료,2026-08-13
프로토타입 1차 스크리닝,18260112-4,과세매입,복리후생비,개인용품,2348000,대표이사 자택 사용 가전제품 구매,불공제 가능,높음,R030_PRIVATE_OR_HOME_USE,사업과 직접 관련 없는 개인·가사 지출,대표자 개인사용·가사 지출 등 사업과 직접 관련 없는 지출은 불공제,부가가치세법 제39조 제1항 제4호·시행령 제77조,실제 사용 장소와 사용자 및 회사업무 관련성을 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제77조,복리후생비 | 개인용품 | 대표이사 자택 사용 가전제품 구매,2026-08-13
프로토타입 1차 스크리닝,18260113-1,과세매입,기업업무추진비,거래처선물,649000,거래처 대표 명절 선물세트 제공,불공제 가능,높음,R040_BUSINESS_PROMOTION,기업업무추진비·접대성 지출,기업업무추진비와 유사한 접대성 비용의 매입세액은 불공제,부가가치세법 제39조 제1항 제6호·시행령 제79조,지출 상대방·목적·참석자와 광고선전 또는 복리후생 해당 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제79조,기업업무추진비 | 거래처선물 | 거래처 대표 명절 선물세트 제공,2026-08-13
프로토타입 1차 스크리닝,18260113-2,과세매입,임차료,승용차렌트,2365000,영업관리용 5인승 승용차 월 렌트료,불공제 가능,높음,R050_SMALL_PASSENGER_CAR,비영업용 소형승용자동차 관련,직접 영업에 쓰는 예외 업종 외 소형승용차의 구입·임차·유지는 불공제,부가가치세법 제39조 제1항 제5호·시행령 제78조,차종·정원·배기량·차량번호와 직접 영업 사용 여부를 확인하세요.,https://www.law.go.kr/법령/부가가치세법시행령/제78조,임차료 | 승용차렌트 | 영업관리용 5인승 승용차 월 렌트료,2026-08-13
프로토타입 1차 스크리닝,18260113-3,과세매입,지급수수료,자문료,1932000,외부 컨설팅 수수료 - 프로젝트명 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,지급수수료 | 자문료 | 외부 컨설팅 수수료 - 프로젝트명 미기재,2026-08-13
프로토타입 1차 스크리닝,18260113-4,과세매입,부재료비,용접봉,2835000,생산공정 용접작업용 용접봉 구매,공제 가능,높음,R130_DIRECT_MATERIAL_OR_PROCESS,과세사업용 원재료·부재료·외주가공,과세사업의 생산·납품에 직접 사용되는 재화·용역은 공제 원칙,부가가치세법 제38조 제1항,과세사업 귀속과 실제 입고·검수 자료를 확인하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,부재료비 | 용접봉 | 생산공정 용접작업용 용접봉 구매,2026-08-13
프로토타입 1차 스크리닝,18260114-1,과세매입,소모품비,전자기기,3271000,태블릿PC 구매 - 사용자 및 사용부서 미기재,추가검토,높음,R110_MISSING_PURPOSE_DETAIL,사업관련성·사용처 정보 부족,목적·사용자·사용장소가 없으면 사업을 위해 사용한 지출인지 확인할 수 없음,부가가치세법 제38조 제1항·제39조 제1항 제4호,거래 목적·사용자·사용부서·사용장소와 관련 증빙을 입력하세요.,https://www.law.go.kr/법령/부가가치세법/제38조,소모품비 | 전자기기 | 태블릿PC 구매 - 사용자 및 사용부서 미기재,2026-08-13
