전표번호,전표유형,계정과목,품목이름,금액,적요
18260115-1,과세매입,복리후생비(생산),생산직원식대,"6,000,000",야간 잔업 생산직원 식대 18명
18260115-2,과세매입,소모품비(생산),안전장갑,"3,447,000",현장 생산직 지급용 안전장갑 구매
18260115-3,과세매입,복리후생비(관리),직원간식,"4,396,000",사무실 전 직원 공용 간식 및 생수 구매
18260115-4,과세매입,광고선전비,제품카탈로그,"6,897,000","B2B 영업용 제품 카탈로그 2,000부 제작"
18260116-1,과세매입,수선비,설비수리,"7,291,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260116-2,과세매입,기업업무추진비,거래처식사,"1,407,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260116-3,과세매입,소모품비,전자기기,"1,796,000",태블릿PC 구매 - 사용자 및 사용부서 미기재
18260116-4,과세매입,지급수수료,인허가용역,"13,300,000","과세 제조시설 신축사업 추진을 위한 행정 인허가 및 사업계획 조정 용역, 부지 취득 자체를 위한 용역 아님"
18260117-1,과세매입,외주가공비,도금가공,"1,492,000",납품제품 표면 아연도금 외주가공
18260117-2,과세매입,외주가공비,도금가공,"7,526,000",납품제품 표면 아연도금 외주가공
18260117-3,과세매입,소모품비,가사용품,"1,152,000",대표 개인주거지 배송 가사용 생활용품
18260117-4,과세매입,임차료,승용차렌트,"2,132,000",영업관리용 5인승 승용차 월 렌트료
18260118-1,과세매입,복리후생비,개인용품,"2,229,000",대표이사 자택 사용 가전제품 구매
18260118-2,과세매입,수선비,시설수리,"1,181,000",건물 시설 수리비 - 사업장/사택 구분 미기재
18260118-3,과세매입,소모품비(생산),안전장갑,"5,415,000",현장 생산직 지급용 안전장갑 구매
18260118-4,과세매입,회의비,식대,"462,000",외부 참석자 포함 회의 식대 - 참석자 명단 미첨부
18260119-1,과세매입,수선비,시설수리,"2,306,000",건물 시설 수리비 - 사업장/사택 구분 미기재
18260119-2,과세매입,지급수수료,사업자문,"11,900,000",생산시설 개발사업 공동시행을 위해 필요한 대상법인 지분 인수·사업승인 자문
18260119-3,과세매입,기업업무추진비,거래처선물,"475,000",거래처 대표 명절 선물세트 제공
18260119-4,과세매입,운반비,화물운송,"6,130,000",완제품 거래처 납품용 5톤 화물운송
18260120-1,과세매입,비품,노트북,"1,814,000",품질관리팀 검사데이터 분석용 노트북 구입
18260120-2,과세매입,임차료,공장창고,"5,595,000",원재료 보관용 외부 창고 월 임차료
18260120-3,과세매입,광고선전비,제품카탈로그,"7,946,000","B2B 영업용 제품 카탈로그 2,000부 제작"
18260120-4,과세매입,외주가공비,도금가공,"8,563,000",납품제품 표면 아연도금 외주가공
18260121-1,과세매입,차량유지비,승용차수리,"2,173,000","관리팀 1,600cc 승용차 엔진오일 및 수리"
18260121-2,과세매입,차량유지비,유류비,"1,761,000",현장 방문 차량 주유 - 차종 및 차량번호 미기재
18260121-3,과세매입,원자재,철판,"4,353,000",A라인 생산용 SS400 철판 원재료 매입
18260121-4,과세매입,지급수수료,재무실사,"7,600,000",신규 과세사업 부지 확보와 사업시행에 필수인 법인 인수 전 재무·자산 실사 수수료
18260122-1,과세매입,부재료비,용접봉,"1,999,000",생산공정 용접작업용 용접봉 구매
18260122-2,과세매입,기업업무추진비,거래처선물,"819,000",거래처 대표 명절 선물세트 제공
18260122-3,과세매입,소모품비,가사용품,"1,250,000",대표 개인주거지 배송 가사용 생활용품
18260122-4,과세매입,기업업무추진비,거래처식사,"1,083,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260123-1,과세매입,지급수수료,자문료,"3,577,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260123-2,과세매입,비품,노트북,"192,000",품질관리팀 검사데이터 분석용 노트북 구입
18260123-3,과세매입,복리후생비,식대,"855,000",주말 식대 6명 - 임직원 여부 미기재
18260123-4,과세매입,회의비,식대,"4,258,000",외부 참석자 포함 회의 식대 - 참석자 명단 미첨부
18260124-1,과세매입,복리후생비(관리),직원간식,"204,000",사무실 전 직원 공용 간식 및 생수 구매
18260124-2,과세매입,원자재,포장박스,"2,810,000","세금계산서 공급자 사업자등록은 가족 명의이나 실운영자가 직접 사업장·직원·재고를 관리하고 포장박스 전량 실제 입고, 수량·단가·대금 일치 확인"
18260124-3,과세매입,교육훈련비,안전교육,"737,000",생산팀 산업안전·설비조작 교육비
18260124-4,과세매입,광고선전비,제품카탈로그,"7,518,000","B2B 영업용 제품 카탈로그 2,000부 제작"
18260125-1,과세매입,외주가공비,도금가공,"792,000",납품제품 표면 아연도금 외주가공
18260125-2,과세매입,원자재,철판,"8,026,000",A라인 생산용 SS400 철판 원재료 매입
18260125-3,과세매입,부재료비,용접봉,"2,860,000",생산공정 용접작업용 용접봉 구매
18260125-4,과세매입,기업업무추진비,골프비,"1,271,000",거래처 관계유지 목적 골프장 이용료
18260126-1,과세매입,광고선전비,기념품,"1,818,000",신제품 홍보용 기념품 구매 - 배포대상 미기재
18260126-2,과세매입,교육훈련비,안전교육,"3,958,000",생산팀 산업안전·설비조작 교육비
18260126-3,과세매입,소모품비(생산),안전장갑,"7,387,000",현장 생산직 지급용 안전장갑 구매
18260126-4,과세매입,원자재,스프원료,"1,830,000",공급자 등록명의와 실운영자 상이. 실운영자가 계약·납품·대금수령 전담했고 세금계산서 기재 수량과 실제 검수수량·가격이 일치
18260127-1,과세매입,차량유지비,승용차수리,"1,845,000","관리팀 1,600cc 승용차 엔진오일 및 수리"
18260127-2,과세매입,차량유지비,승용차유류,"635,000","대표이사 업무용 2,000cc 승용차 주유"
18260127-3,과세매입,소모품비,가사용품,"1,816,000",대표 개인주거지 배송 가사용 생활용품
18260127-4,과세매입,수선비,시설수리,"848,000",건물 시설 수리비 - 사업장/사택 구분 미기재
18260128-1,과세매입,원자재,베어링,"5,650,000",감속기 조립용 베어링 생산자재 매입
18260128-2,과세매입,소모품비,전자기기,"1,238,000",태블릿PC 구매 - 사용자 및 사용부서 미기재
18260128-3,과세매입,광고선전비,기념품,"1,864,000",신제품 홍보용 기념품 구매 - 배포대상 미기재
18260128-4,과세매입,교육훈련비,안전교육,"5,377,000",생산팀 산업안전·설비조작 교육비
18260129-1,과세매입,차량유지비,승용차유류,"765,000","대표이사 업무용 2,000cc 승용차 주유"
18260129-2,과세매입,부재료비,포장필름,"5,730,000","형식상 제3자 명의 사업자등록이나 실운영자가 생산설비·직원·계좌를 직접 관리, 거래명세·입고수량·세금계산서 금액 모두 일치"
18260129-3,과세매입,외주가공비,도금가공,"3,768,000",납품제품 표면 아연도금 외주가공
18260129-4,과세매입,복리후생비(생산),생산직원식대,"2,172,000",야간 잔업 생산직원 식대 18명
18260130-1,과세매입,복리후생비(생산),생산직원식대,"7,478,000",야간 잔업 생산직원 식대 18명
18260130-2,과세매입,지급수수료,회계감사,"8,011,000",외부감사 대응 재고실사 및 회계자문 수수료
18260130-3,과세매입,복리후생비,개인용품,"2,003,000",대표이사 자택 사용 가전제품 구매
18260130-4,과세매입,지급수수료,자문료,"3,832,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260131-1,과세매입,지급수수료,회계감사,"6,343,000",외부감사 대응 재고실사 및 회계자문 수수료
18260131-2,과세매입,비품,노트북,"3,236,000",품질관리팀 검사데이터 분석용 노트북 구입
18260131-3,과세매입,소모품비(생산),안전장갑,"1,305,000",현장 생산직 지급용 안전장갑 구매
18260131-4,과세매입,외주가공비,절삭가공,"680,000","외주업체 사업자등록 명의자는 배우자이나 실제 운영자가 수년간 직접 공장 운영·견적·납품·대금관리, 가공품 수량·단가 일치"
18260201-1,과세매입,소모품비,가사용품,"2,101,000",대표 개인주거지 배송 가사용 생활용품
18260201-2,과세매입,임차료,승용차렌트,"1,030,000",영업관리용 5인승 승용차 월 렌트료
18260201-3,과세매입,소모품비,전자기기,"2,931,000",태블릿PC 구매 - 사용자 및 사용부서 미기재
18260201-4,과세매입,통신비,법인휴대폰,"5,235,000",영업팀 법인명의 업무용 휴대전화 요금
18260202-1,과세매입,수선비,시설수리,"1,295,000",건물 시설 수리비 - 사업장/사택 구분 미기재
18260202-2,과세매입,회의비,식대,"3,425,000",외부 참석자 포함 회의 식대 - 참석자 명단 미첨부
18260202-3,과세매입,수선비,설비수리,"76,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260202-4,과세매입,기업업무추진비,거래처선물,"500,000",거래처 대표 명절 선물세트 제공
18260203-1,과세매입,부재료비,용접봉,"6,197,000",생산공정 용접작업용 용접봉 구매
18260203-2,과세매입,원자재,알루미늄판,"3,480,000",세금계산서 명의와 실운영자 이름이 다르나 실제 운영자가 발주협의·출고·대금정산을 직접 수행하고 알루미늄판 전량 입고 확인
18260203-3,과세매입,복리후생비(관리),직원간식,"6,129,000",사무실 전 직원 공용 간식 및 생수 구매
18260203-4,과세매입,교육훈련비,안전교육,"5,606,000",생산팀 산업안전·설비조작 교육비
18260204-1,과세매입,지급수수료,회계감사,"7,862,000",외부감사 대응 재고실사 및 회계자문 수수료
18260204-2,과세매입,기업업무추진비,거래처식사,"360,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260204-3,과세매입,수선비,시설수리,"834,000",건물 시설 수리비 - 사업장/사택 구분 미기재
18260204-4,과세매입,외주가공비,도금가공,"4,783,000",납품제품 표면 아연도금 외주가공
18260205-1,과세매입,통신비,법인휴대폰,"5,818,000",영업팀 법인명의 업무용 휴대전화 요금
18260205-2,과세매입,소모품비(생산),안전장갑,"1,242,000",현장 생산직 지급용 안전장갑 구매
18260205-3,과세매입,연구개발비,시제품재료,"2,002,000",신형 펌프 시제품 제작용 테스트 재료비
18260205-4,과세매입,원자재,고무패킹,"5,810,000","공급처는 가족 명의 사업자등록. 실운영자가 해당 사업체를 독립적으로 운영하고 직원급여·재고·매출대금 관리, 실제 납품내역과 세금계산서 일치"
18260206-1,과세매입,기업업무추진비,거래처선물,"2,300,000",거래처 대표 명절 선물세트 제공
18260206-2,과세매입,회의비,식대,"2,108,000",외부 참석자 포함 회의 식대 - 참석자 명단 미첨부
18260206-3,과세매입,부재료비,용접봉,"5,997,000",생산공정 용접작업용 용접봉 구매
18260206-4,과세매입,지급수수료,자문료,"4,122,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260207-1,과세매입,소모품비,전자기기,"992,000",태블릿PC 구매 - 사용자 및 사용부서 미기재
18260207-2,과세매입,연구개발비,시제품재료,"7,045,000",신형 펌프 시제품 제작용 테스트 재료비
18260207-3,과세매입,기업업무추진비,거래처식사,"1,141,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260207-4,과세매입,운반비,화물운송,"6,344,000",완제품 거래처 납품용 5톤 화물운송
18260208-1,과세매입,연구개발비,시제품재료,"3,193,000",신형 펌프 시제품 제작용 테스트 재료비
18260208-2,과세매입,부재료비,볼트세트,"6,000,000",제3자 명의 사업자등록 사용 사실 확인. 다만 실운영자가 직접 거래했고 물품 수량·가격·입고일·계좌이체가 세금계산서와 일치
18260208-3,과세매입,교육훈련비,안전교육,"8,821,000",생산팀 산업안전·설비조작 교육비
18260208-4,과세매입,원자재,베어링,"4,802,000",감속기 조립용 베어링 생산자재 매입
18260209-1,과세매입,복리후생비,개인용품,"1,031,000",대표이사 자택 사용 가전제품 구매
18260209-2,과세매입,지급수수료,자문료,"4,833,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260209-3,과세매입,원자재,철판,"5,703,000",A라인 생산용 SS400 철판 원재료 매입
18260209-4,과세매입,통신비,법인휴대폰,"8,635,000",영업팀 법인명의 업무용 휴대전화 요금
18260210-1,과세매입,통신비,법인휴대폰,"5,932,000",영업팀 법인명의 업무용 휴대전화 요금
18260210-2,과세매입,복리후생비(생산),생산직원식대,"7,327,000",야간 잔업 생산직원 식대 18명
18260210-3,과세매입,기업업무추진비,골프비,"2,291,000",거래처 관계유지 목적 골프장 이용료
18260210-4,과세매입,외주가공비,도장가공,"8,310,000",명의상 대표와 실제 운영자가 다르나 실운영자가 공장·인력·비용·수익을 직접 관리하고 당사 발주품을 실제 가공·납품한 자료 확인
18260211-1,과세매입,광고선전비,기념품,"4,135,000",신제품 홍보용 기념품 구매 - 배포대상 미기재
18260211-2,과세매입,복리후생비(생산),생산직원식대,"5,692,000",야간 잔업 생산직원 식대 18명
18260211-3,과세매입,복리후생비,식대,"1,757,000",주말 식대 6명 - 임직원 여부 미기재
18260211-4,과세매입,차량유지비,유류비,"1,645,000",현장 방문 차량 주유 - 차종 및 차량번호 미기재
18260212-1,과세매입,지급수수료,회계감사,"7,132,000",외부감사 대응 재고실사 및 회계자문 수수료
18260212-2,과세매입,임차료,승용차렌트,"212,000",영업관리용 5인승 승용차 월 렌트료
18260212-3,과세매입,외주가공비,도금가공,"4,598,000",납품제품 표면 아연도금 외주가공
18260212-4,과세매입,복리후생비(관리),직원간식,"4,924,000",사무실 전 직원 공용 간식 및 생수 구매
18260213-1,과세매입,외주가공비,도금가공,"575,000",납품제품 표면 아연도금 외주가공
18260213-2,과세매입,지급수수료,기업인수 실사,"10,300,000",과세 제조사업 확장을 위해 인접 생산부지 대부분을 보유한 법인 지분 인수가 필요하여 재무·법률 실사 진행 / 계약서·거래명세·계좌이체 증빙 보관
18260213-3,과세매입,교육훈련비,안전교육,"1,440,000",생산팀 산업안전·설비조작 교육비
18260213-4,과세매입,임차료,승용차렌트,"625,000",영업관리용 5인승 승용차 월 렌트료
18260214-1,과세매입,회의비,식대,"4,600,000",외부 참석자 포함 회의 식대 - 참석자 명단 미첨부
18260214-2,과세매입,원자재,베어링,"3,438,000",감속기 조립용 베어링 생산자재 매입
18260214-3,과세매입,원자재,철판,"6,737,000",A라인 생산용 SS400 철판 원재료 매입
18260214-4,과세매입,원자재,베어링,"7,981,000",감속기 조립용 베어링 생산자재 매입
18260215-1,과세매입,광고선전비,제품카탈로그,"4,894,000","B2B 영업용 제품 카탈로그 2,000부 제작"
18260215-2,과세매입,차량유지비,승용차유류,"956,000","대표이사 업무용 2,000cc 승용차 주유"
18260215-3,과세매입,소모품비,가사용품,"1,844,000",대표 개인주거지 배송 가사용 생활용품
18260215-4,과세매입,지급수수료,금융자문,"18,000,000",신규 공장증설 사업 추진에 필요한 대상회사 인수자금 조달 및 금융자문 수수료 / 계약서·거래명세·계좌이체 증빙 보관
18260216-1,과세매입,운반비,화물운송,"5,212,000",완제품 거래처 납품용 5톤 화물운송
18260216-2,과세매입,수선비,시설수리,"716,000",건물 시설 수리비 - 사업장/사택 구분 미기재
18260216-3,과세매입,소모품비,전자기기,"4,656,000",태블릿PC 구매 - 사용자 및 사용부서 미기재
18260216-4,과세매입,원자재,베어링,"5,845,000",감속기 조립용 베어링 생산자재 매입
18260217-1,과세매입,차량유지비,승용차유류,"2,350,000","대표이사 업무용 2,000cc 승용차 주유"
18260217-2,과세매입,부재료비,용접봉,"2,988,000",생산공정 용접작업용 용접봉 구매
18260217-3,과세매입,소모품비(생산),안전장갑,"1,656,000",현장 생산직 지급용 안전장갑 구매
18260217-4,과세매입,지급수수료,회계감사,"4,748,000",외부감사 대응 재고실사 및 회계자문 수수료
18260218-1,과세매입,복리후생비(생산),생산직원식대,"2,204,000",야간 잔업 생산직원 식대 18명
18260218-2,과세매입,지급수수료,인수자문,"16,400,000",생산단지 조성사업 시행을 위해 토지 다수 보유 법인 주식인수 협상·실사 자문 / 계약서·거래명세·계좌이체 증빙 보관
18260218-3,과세매입,임차료,승용차렌트,"132,000",영업관리용 5인승 승용차 월 렌트료
18260218-4,과세매입,지급수수료,자문료,"2,631,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260219-1,과세매입,광고선전비,제품카탈로그,"6,798,000","B2B 영업용 제품 카탈로그 2,000부 제작"
18260219-2,과세매입,연구개발비,시제품재료,"4,069,000",신형 펌프 시제품 제작용 테스트 재료비
18260219-3,과세매입,운반비,화물운송,"5,271,000",완제품 거래처 납품용 5톤 화물운송
18260219-4,과세매입,연구개발비,시제품재료,"4,340,000",신형 펌프 시제품 제작용 테스트 재료비
18260220-1,과세매입,복리후생비,개인용품,"74,000",대표이사 자택 사용 가전제품 구매
18260220-2,과세매입,기업업무추진비,거래처식사,"345,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260220-3,과세매입,소모품비,가사용품,"1,178,000",대표 개인주거지 배송 가사용 생활용품
18260220-4,과세매입,지급수수료,가치평가,"7,200,000",과세사업 확대에 필요한 사업시행권 보유 법인 인수 전 가치평가 및 재무실사 / 계약서·거래명세·계좌이체 증빙 보관
18260221-1,과세매입,지급수수료,자문료,"4,936,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260221-2,과세매입,지급수수료,자문료,"1,301,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260221-3,과세매입,원자재,철판,"8,707,000",A라인 생산용 SS400 철판 원재료 매입
18260221-4,과세매입,임차료,승용차렌트,"2,088,000",영업관리용 5인승 승용차 월 렌트료
18260222-1,과세매입,부재료비,용접봉,"542,000",생산공정 용접작업용 용접봉 구매
18260222-2,과세매입,외주가공비,도금가공,"1,888,000",납품제품 표면 아연도금 외주가공
18260222-3,과세매입,소모품비(생산),안전장갑,"8,068,000",현장 생산직 지급용 안전장갑 구매
18260222-4,과세매입,운반비,화물운송,"1,811,000",완제품 거래처 납품용 5톤 화물운송
18260223-1,과세매입,원자재,철판,"1,948,000",A라인 생산용 SS400 철판 원재료 매입
18260223-2,과세매입,지급수수료,사업시행 자문,"20,100,000","공장 이전·확장 사업 승인신청 및 사업시행을 위한 인허가·업무대행 자문, 토지가치 증가 목적 아님 / 계약서·거래명세·계좌이체 증빙 보관"
18260223-3,과세매입,소모품비,전자기기,"229,000",태블릿PC 구매 - 사용자 및 사용부서 미기재
18260223-4,과세매입,비품,노트북,"6,610,000",품질관리팀 검사데이터 분석용 노트북 구입
18260224-1,과세매입,운반비,화물운송,"5,805,000",완제품 거래처 납품용 5톤 화물운송
18260224-2,과세매입,부재료비,용접봉,"7,793,000",생산공정 용접작업용 용접봉 구매
18260224-3,과세매입,원자재,베어링,"8,093,000",감속기 조립용 베어링 생산자재 매입
18260224-4,과세매입,소모품비,가사용품,"191,000",대표 개인주거지 배송 가사용 생활용품
18260225-1,과세매입,기업업무추진비,거래처식사,"670,000",주요 거래처 임원 4명 접대 목적 저녁식사
18260225-2,과세매입,복리후생비,개인용품,"1,908,000",대표이사 자택 사용 가전제품 구매
18260225-3,과세매입,차량유지비,유류비,"2,358,000",현장 방문 차량 주유 - 차종 및 차량번호 미기재
18260225-4,과세매입,지급수수료,인허가용역,"10,200,000","과세 제조시설 신축사업 추진을 위한 행정 인허가 및 사업계획 조정 용역, 부지 취득 자체를 위한 용역 아님 / 계약서·거래명세·계좌이체 증빙 보관"
18260226-1,과세매입,지급수수료,자문료,"4,912,000",외부 컨설팅 수수료 - 프로젝트명 미기재
18260226-2,과세매입,복리후생비(생산),생산직원식대,"5,268,000",야간 잔업 생산직원 식대 18명
18260226-3,과세매입,차량유지비,승용차수리,"685,000","관리팀 1,600cc 승용차 엔진오일 및 수리"
18260226-4,과세매입,비품,노트북,"8,789,000",품질관리팀 검사데이터 분석용 노트북 구입
18260227-1,과세매입,소모품비(생산),안전장갑,"5,133,000",현장 생산직 지급용 안전장갑 구매
18260227-2,과세매입,임차료,공장창고,"3,553,000",원재료 보관용 외부 창고 월 임차료
18260227-3,과세매입,복리후생비(생산),생산직원식대,"7,761,000",야간 잔업 생산직원 식대 18명
18260227-4,과세매입,운반비,화물운송,"7,156,000",완제품 거래처 납품용 5톤 화물운송
18260228-1,과세매입,소모품비,가사용품,"1,974,000",대표 개인주거지 배송 가사용 생활용품
18260228-2,과세매입,지급수수료,사업자문,"14,100,000",생산시설 개발사업 공동시행을 위해 필요한 대상법인 지분 인수·사업승인 자문 / 계약서·거래명세·계좌이체 증빙 보관
18260228-3,과세매입,수선비,설비수리,"1,384,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260228-4,과세매입,비품,노트북,"5,819,000",품질관리팀 검사데이터 분석용 노트북 구입
18260301-1,과세매입,복리후생비(관리),직원간식,"7,308,000",사무실 전 직원 공용 간식 및 생수 구매
18260301-2,과세매입,수선비,설비수리,"5,036,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260301-3,과세매입,임차료,승용차렌트,"1,459,000",영업관리용 5인승 승용차 월 렌트료
18260301-4,과세매입,기업업무추진비,거래처선물,"2,185,000",거래처 대표 명절 선물세트 제공
18260302-1,과세매입,기업업무추진비,골프비,"1,194,000",거래처 관계유지 목적 골프장 이용료
18260302-2,과세매입,차량유지비,유류비,"1,940,000",현장 방문 차량 주유 - 차종 및 차량번호 미기재
18260302-3,과세매입,외주가공비,도금가공,"1,758,000",납품제품 표면 아연도금 외주가공
18260302-4,과세매입,지급수수료,재무실사,"9,000,000",신규 과세사업 부지 확보와 사업시행에 필수인 법인 인수 전 재무·자산 실사 수수료 / 계약서·거래명세·계좌이체 증빙 보관
18260303-1,과세매입,운반비,화물운송,"6,848,000",완제품 거래처 납품용 5톤 화물운송
18260303-2,과세매입,소모품비,가사용품,"1,688,000",대표 개인주거지 배송 가사용 생활용품
18260303-3,과세매입,임차료,공장창고,"2,090,000",원재료 보관용 외부 창고 월 임차료
18260303-4,과세매입,복리후생비(생산),생산직원식대,"4,326,000",야간 잔업 생산직원 식대 18명
18260304-1,과세매입,수선비,설비수리,"5,280,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260304-2,과세매입,지급수수료,회계감사,"2,972,000",외부감사 대응 재고실사 및 회계자문 수수료
18260304-3,과세매입,소모품비(생산),안전장갑,"2,753,000",현장 생산직 지급용 안전장갑 구매
18260304-4,과세매입,기업업무추진비,골프비,"291,000",거래처 관계유지 목적 골프장 이용료
18260305-1,과세매입,수선비,시설수리,"2,486,000",건물 시설 수리비 - 사업장/사택 구분 미기재
18260305-2,과세매입,원자재,포장박스,"2,490,000","세금계산서 공급자 사업자등록은 가족 명의이나 실운영자가 직접 사업장·직원·재고를 관리하고 포장박스 전량 실제 입고, 수량·단가·대금 일치 확인 / 계약서·거래명세·계좌이체 증빙 보관"
18260305-3,과세매입,수선비,설비수리,"1,913,000",CNC 선반 스핀들 고장 수리 및 부품교체
18260305-4,과세매입,광고선전비,제품카탈로그,"8,966,000","B2B 영업용 제품 카탈로그 2,000부 제작"
